# MRS ProoVer 2026 corpus manifest, schema_version=1
# columns: id<TAB>problem_file<TAB>proof_file<TAB>category<TAB>accepted_verdicts<TAB>max_score
PRV000+1	Problems/PRV000+1.p	Proofs/PRV000+1.s	valid	VerifiedGood	1
PRV001+1	Problems/PRV001+1.p	Proofs/PRV001+1.s	valid	VerifiedGood	1
PRV002+1	Problems/PRV002+1.p	Proofs/PRV002+1.s	evil	VerifiedBad	2
PRV003+1	Problems/PRV003+1.p	Proofs/PRV003+1.s	evil	VerifiedBad	2
PRV004+1	Problems/PRV004+1.p	Proofs/PRV004+1.s	valid	VerifiedGood	1
PRV005+1	Problems/PRV005+1.p	Proofs/PRV005+1.s	valid	VerifiedGood	1
PRV006+1	Problems/PRV006+1.p	Proofs/PRV006+1.s	evil	VerifiedBad	2
PRV007+1	Problems/PRV007+1.p	Proofs/PRV007+1.s	evil	VerifiedBad	2
PRV008+1	Problems/PRV008+1.p	Proofs/PRV008+1.s	evil	VerifiedBad	2
PRV009+1	Problems/PRV009+1.p	Proofs/PRV009+1.s	evil	VerifiedBad	2
PRV010+1	Problems/PRV010+1.p	Proofs/PRV010+1.s	valid	VerifiedGood	1
PRV011+1	Problems/PRV011+1.p	Proofs/PRV011+1.s	valid	VerifiedGood	1
PRV012+1	Problems/PRV012+1.p	Proofs/PRV012+1.s	valid	VerifiedGood	1
PRV013+1	Problems/PRV013+1.p	Proofs/PRV013+1.s	valid	VerifiedGood	1
PRV014+1	Problems/PRV014+1.p	Proofs/PRV014+1.s	valid	VerifiedGood	1
PRV015+1	Problems/PRV015+1.p	Proofs/PRV015+1.s	valid	VerifiedGood	1
PRV016+1	Problems/PRV016+1.p	Proofs/PRV016+1.s	valid	VerifiedGood	1
PRV017+1	Problems/PRV017+1.p	Proofs/PRV017+1.s	valid	VerifiedGood	1
PRV018+1	Problems/PRV018+1.p	Proofs/PRV018+1.s	valid	VerifiedGood	1
PRV019+1	Problems/PRV019+1.p	Proofs/PRV019+1.s	valid	VerifiedGood	1
PRV020+1	Problems/PRV020+1.p	Proofs/PRV020+1.s	valid	VerifiedGood	1
PRV021+1	Problems/PRV021+1.p	Proofs/PRV021+1.s	valid	VerifiedGood	1
PRV022+1	Problems/PRV022+1.p	Proofs/PRV022+1.s	valid	VerifiedGood	1
PRV023+1	Problems/PRV023+1.p	Proofs/PRV023+1.s	evil	VerifiedBad	2
PRV024+1	Problems/PRV024+1.p	Proofs/PRV024+1.s	evil	VerifiedBad	2
PRV025+1	Problems/PRV025+1.p	Proofs/PRV025+1.s	evil	VerifiedBad	2
PRV026+1	Problems/PRV026+1.p	Proofs/PRV026+1.s	evil	VerifiedBad	2
